iter	Passed	Remaining
509	15229	8659
510	15257	8628
511	15285	8598
512	15313	8567
513	15341	8536
514	15371	8506
515	15397	8474
516	15424	8443
517	15453	8412
518	15481	8381
519	15508	8350
520	15536	8319
521	15563	8288
522	15591	8257
523	15619	8226
524	15646	8195
525	15673	8164
526	15702	8134
527	15730	8103
528	15758	8073
529	15801	8049
530	15828	8018
531	15857	7988
532	15884	7957
533	15915	7927
534	15941	7896
535	15968	7865
536	15995	7833
537	16023	7803
538	16049	7771
539	16085	7745
540	16112	7713
541	16139	7682
542	16166	7651
543	16193	7620
544	16221	7590
545	16249	7559
546	16279	7529
547	16307	7499
548	16334	7467
549	16360	7436
550	16388	7405
551	16416	7375
552	16443	7344
553	16469	7313
554	16498	7282
555	16526	7252
556	16556	7222
557	16592	7195
558	16622	7166
559	16650	7136
560	16677	7105
561	16705	7074
562	16733	7044
563	16764	7014
564	16792	6984
565	16820	6954
566	16847	6923
567	16876	6893
568	16903	6862
569	16930	6831
570	16959	6801
571	16987	6771
572	17017	6741
573	17046	6711
574	17075	6681
575	17104	6651
576	17132	6621
577	17172	6595
578	17206	6567
579	17235	6537
580	17265	6508
581	17294	6477
582	17323	6448
583	17352	6418
584	17382	6388
585	17410	6358
586	17439	6327
587	17467	6297
588	17497	6268
589	17524	6237
590	17552	6207
591	17580	6177
592	17608	6146
593	17637	6116
594	17665	6086
595	17694	6056
596	17722	6026
597	17752	5996
598	17781	5966
599	17810	5936
600	17839	5906
601	17868	5877
602	17896	5846
603	17925	5816
604	17955	5787
605	17983	5757
606	18012	5727
607	18041	5697
608	18069	5667
609	18098	5637
610	18126	5606
611	18153	5576
612	18182	5546
613	18210	5516
614	18238	5486
615	18267	5456
616	18294	5426
617	18322	5395
618	18349	5365
619	18377	5335
620	18403	5304
621	18430	5274
622	18456	5243
623	18482	5213
624	18510	5182
625	18537	5152
626	18563	5122
627	18589	5091
628	18616	5061
629	18643	5030
630	18676	5002
631	18704	4971
632	18731	4941
633	18761	4912
634	18814	4888
635	18866	4864
636	18923	4842
637	18952	4812
638	18982	4782
639	19010	4752
640	19040	4723
