iter	Logloss
0	0.657432146
1	0.6251010165
2	0.5933568475
3	0.5660492027
4	0.5322815893
5	0.5100543234
6	0.4894250377
7	0.4698612352
8	0.4502010699
9	0.4311881497
10	0.4168713192
11	0.4036138647
12	0.391965263
13	0.3810455748
14	0.3709126275
15	0.3620924321
16	0.3539032287
17	0.3447057267
18	0.3373835648
19	0.3298281669
20	0.3237514707
21	0.3187891246
22	0.3136595271
23	0.3089587701
24	0.3046180089
25	0.3006355383
26	0.2965868777
27	0.2930383594
28	0.2898688188
29	0.2855612146
30	0.2828072953
31	0.280277729
32	0.277947927
33	0.2758225561
34	0.2736183996
35	0.2712089346
36	0.2695163436
37	0.267933602
38	0.2662921111
39	0.2647267616
40	0.2628284232
41	0.2611281846
42	0.2601180296
43	0.2588146858
44	0.2569775356
45	0.2540023806
46	0.2525767194
47	0.2512496293
48	0.2500130695
49	0.2492430625
50	0.2484677676
51	0.2477658627
52	0.2471307129
53	0.2463888046
54	0.2454075978
55	0.2438354859
56	0.2431618179
57	0.2423720678
58	0.2417299063
59	0.2412125953
60	0.2408918456
61	0.240218936
62	0.2394282759
63	0.2388830729
64	0.2385144416
65	0.238205762
66	0.2376770051
67	0.2363761159
68	0.2359842813
69	0.2353983454
70	0.2349173847
71	0.2347170803
72	0.2342853086
73	0.2338948704
74	0.2334566226
75	0.2331649593
76	0.2329397937
77	0.2324506015
78	0.231933961
79	0.2315767183
80	0.2314060427
81	0.2310651563
82	0.230734577
83	0.2304705743
84	0.2300903791
85	0.2294698276
86	0.229204818
87	0.2289510939
88	0.2287773038
89	0.2284755654
90	0.2281343068
91	0.227357851
92	0.2271700992
93	0.2269319081
94	0.2267828278
95	0.226230978
96	0.2260977452
97	0.2257789138
98	0.2255294594
99	0.2254167056
100	0.2252563044
101	0.2250315748
102	0.2249006393
103	0.2247084343
104	0.2245399097
105	0.2244607114
106	0.2243061763
107	0.2240622996
108	0.2239525683
109	0.2237673573
110	0.2235942033
111	0.223467957
112	0.2233637868
113	0.2231898039
114	0.2230863301
115	0.2229374168
116	0.2226884314
117	0.2225757963
118	0.2224752835
119	0.2223164458
120	0.2220871275
121	0.2217649362
122	0.2215495377
123	0.2214369635
124	0.2212773278
125	0.221183285
126	0.2210392218
127	0.2208668492
128	0.2208311275
129	0.2206988438
130	0.2206127328
131	0.2204564586
132	0.2203967864
133	0.220218306
134	0.2200336279
135	0.2199291882
136	0.2196493642
137	0.2194570668
138	0.2192758546
139	0.2191185629
140	0.2190595019
141	0.2189545712
142	0.218786229
143	0.2187082718
144	0.218520058
145	0.2183138286
146	0.2181371941
147	0.2179518565
148	0.2176895794
149	0.2175101029
150	0.2174178688
151	0.217221772
152	0.217050392
153	0.216901251
154	0.216716573
155	0.2166333764
156	0.2164253506
157	0.2162188351
158	0.2161392967
159	0.2160086411
160	0.2158759594
161	0.2156686209
162	0.2154912802
163	0.2154398031
164	0.2152854697
165	0.2151304297
166	0.2150358924
167	0.2148979887
168	0.2147313551
169	0.2146568644
170	0.2145233812
171	0.2144477863
172	0.2143574617
173	0.2142930605
174	0.2141623785
175	0.2140881493
176	0.2139450882
177	0.2137361016
178	0.2136602498
179	0.2135513222
180	0.2134024246
181	0.213341162
182	0.2132214712
183	0.2131103587
184	0.2130813868
185	0.212988289
186	0.212933015
187	0.2127128296
188	0.2126758573
189	0.212536352
190	0.2124792102
191	0.2123892384
192	0.2123178079
193	0.2121355272
194	0.2120542012
195	0.2120244325
196	0.2119042898
197	0.2117541354
198	0.2116557405
199	0.2114545923
200	0.2113580081
201	0.211315671
202	0.2112004109
203	0.2111074618
204	0.2111073573
205	0.2110841545
206	0.2109577371
207	0.2108893241
208	0.2108551385
209	0.210773118
210	0.2107273623
211	0.210562493
212	0.2104220056
213	0.2103413675
214	0.2102455845
215	0.210180777
216	0.2101510264
217	0.2100866656
218	0.2100051743
219	0.2099347761
220	0.2098259084
221	0.2096985115
222	0.2095594079
223	0.2094211533
224	0.209289105
225	0.2091891999
226	0.2090881489
227	0.2089666503
228	0.208836992
229	0.2087097806
230	0.2086536004
231	0.2085584102
232	0.2084284645
233	0.2083316671
234	0.2082573862
235	0.2082023823
236	0.2080588813
237	0.2080345192
238	0.2079566787
239	0.2078466551
240	0.2077314293
241	0.2076790339
242	0.2076087112
243	0.2075808361
244	0.2075029804
245	0.2073820224
246	0.2073090976
247	0.2072456326
248	0.2071403349
249	0.207052032
250	0.2069645785
251	0.2068543556
252	0.206717032
253	0.2066229224
254	0.2066140154
255	0.2065901315
256	0.2064727002
257	0.206422535
258	0.206347073
259	0.2062088939
260	0.2060732855
261	0.2060163114
262	0.2059390366
263	0.2058709007
264	0.2057832433
265	0.2057116764
266	0.2056838812
267	0.2056403999
268	0.2055984144
269	0.2055172341
270	0.2054603431
271	0.2053785501
272	0.2053074387
273	0.2051933191
274	0.2050156229
275	0.204927098
276	0.2047656665
277	0.2046608168
278	0.2045312558
279	0.2044035968
280	0.2042863483
281	0.2042656867
282	0.2042031978
283	0.2041048325
284	0.2039940503
285	0.2039271857
286	0.2038860255
287	0.203834152
288	0.2037269347
289	0.203702917
290	0.2036036405
291	0.2034931934
292	0.2034109432
293	0.2033350958
294	0.2032578909
295	0.2031807985
296	0.203068734
297	0.2029246634
298	0.202902979
299	0.2028083961
300	0.2027405319
301	0.2026875561
302	0.2025797192
303	0.2025175227
304	0.2024455025
305	0.2023102447
306	0.202193036
307	0.2021340405
308	0.2020973273
309	0.2019826317
310	0.2019178122
311	0.2018799401
312	0.201802567
313	0.2017065385
314	0.201650323
315	0.2015988179
316	0.201541577
317	0.2014928689
318	0.201419883
319	0.2013477141
320	0.2013096106
321	0.201215902
322	0.2010776527
323	0.2009819957
324	0.2008768722
325	0.2007757245
326	0.2007094341
327	0.2006051007
328	0.2005509979
329	0.2004486723
330	0.2003424784
331	0.2002873571
332	0.2002074157
333	0.2000645707
334	0.2000059851
335	0.1999073609
336	0.1998405411
337	0.1997373249
338	0.199594271
339	0.1995189199
340	0.1994320077
341	0.1993141751
342	0.1992036919
343	0.1991391203
344	0.1990344326
345	0.1989538908
346	0.1988350541
347	0.1987867127
348	0.1987490377
349	0.1986364241
350	0.1985311213
351	0.1984148017
352	0.198309963
353	0.1981828901
354	0.1980869907
355	0.1980065857
356	0.1979258816
357	0.1978832683
358	0.1978291372
359	0.1977378799
360	0.1976957324
361	0.1976041176
362	0.1975462648
363	0.1973969976
364	0.1972520426
365	0.1971621212
366	0.197059917
367	0.1968826116
368	0.1968035097
369	0.1967511258
370	0.1966645861
371	0.1966302361
372	0.1965473567
373	0.1964625286
374	0.1963419754
375	0.1963218914
376	0.1962016624
377	0.1961260012
378	0.1960491439
379	0.1960104056
380	0.195934001
381	0.1958518905
382	0.1957702733
383	0.1957204738
384	0.1956297783
385	0.1956049005
386	0.1955044916
387	0.1954166663
388	0.1953505843
389	0.195253432
390	0.1951656456
391	0.1950371112
392	0.1949373566
393	0.1948456585
394	0.1947605877
395	0.1946583316
396	0.1946178592
397	0.1944833513
398	0.1943739398
399	0.1943125083
400	0.1942331234
401	0.1942061916
402	0.1941230013
403	0.1940432959
404	0.19401746
405	0.1939809056
406	0.1939141191
407	0.1938345973
408	0.1937064826
409	0.1936381958
410	0.1935270853
411	0.1934290701
412	0.1933460571
413	0.1932518893
414	0.1931421824
415	0.193060312
416	0.1929873059
417	0.1929646581
418	0.1928953574
419	0.192873926
420	0.1928276696
421	0.1927426047
422	0.1927142292
423	0.1926724898
424	0.1925961344
425	0.1925172482
426	0.192455981
427	0.192352195
428	0.1922525963
429	0.1921578448
430	0.1920385151
431	0.1919535689
432	0.1918712169
433	0.1917881431
434	0.1917186212
435	0.1916671526
436	0.1915895491
437	0.1915336204
438	0.1915139794
439	0.191393971
440	0.1913131304
441	0.1912685888
442	0.1911489525
443	0.191068207
444	0.1909735659
445	0.1908633615
446	0.190761563
447	0.1907259486
448	0.1906133327
449	0.1905323086
450	0.1904108541
451	0.1903472362
452	0.1902375989
453	0.19011152
454	0.1900245344
455	0.1899766902
456	0.1899263836
457	0.1898575685
458	0.1898287701
459	0.1897620028
460	0.1897130172
461	0.1896308926
462	0.1895540145
463	0.1894803784
464	0.1893809701
465	0.1893034724
466	0.1892007752
467	0.1891270193
468	0.1890360382
469	0.1889590345
470	0.1888665816
471	0.1887903146
472	0.1887675046
473	0.1886946938
474	0.1885978757
475	0.188520749
476	0.1884301664
477	0.1884201941
478	0.1883769418
479	0.1882882883
480	0.1881989746
481	0.1881421346
482	0.1880736964
483	0.1880059403
484	0.1879253737
485	0.1878349444
486	0.1877491851
487	0.1876916249
488	0.1876611541
489	0.1876312929
490	0.1875604237
491	0.1875065947
492	0.1874275128
493	0.1873383544
494	0.1872569369
495	0.1871812467
496	0.187093235
497	0.1869693623
498	0.1869033372
499	0.1868310936
500	0.1868102805
501	0.1867681969
502	0.1867436667
503	0.1866943405
504	0.1866780171
505	0.1865732375
506	0.1865311565
507	0.1864483921
508	0.186337597
509	0.186253731
510	0.186204587
511	0.1861301725
512	0.1860344168
513	0.1859373585
514	0.1858779319
515	0.1858550043
516	0.1858298118
517	0.1857717596
518	0.1856711432
519	0.1856137361
520	0.1855414978
521	0.1854246651
522	0.1854052384
523	0.185300102
524	0.1852757611
525	0.1852379883
526	0.1851914398
527	0.1851481242
528	0.1850922996
529	0.1850237503
530	0.1849647094
531	0.1848904255
532	0.1848270131
533	0.1847837231
534	0.1846800592
535	0.1846091785
536	0.1844938788
537	0.184382205
538	0.1843192173
539	0.1842725548
540	0.1842340189
541	0.1842068186
542	0.1841179849
543	0.1840652699
544	0.1839930126
545	0.1839275644
546	0.1838746329
547	0.1838287678
548	0.1837863217
549	0.1837344309
550	0.1836715045
551	0.1836306806
552	0.1835552753
553	0.1834903791
554	0.1834292411
555	0.183300651
556	0.1832259064
557	0.183137896
558	0.1830614119
559	0.1829866649
560	0.1829611642
561	0.1829029616
562	0.1828103562
563	0.1826997397
564	0.1826570769
565	0.1826196539
566	0.1826047727
567	0.182583139
568	0.1825064577
569	0.1824632048
570	0.1824467146
571	0.1823111027
572	0.1822663021
573	0.1821301515
574	0.1820766174
575	0.1819897959
576	0.1818938936
577	0.1818304642
578	0.1817727819
579	0.1817579044
580	0.181715313
581	0.1816926232
582	0.1816025788
583	0.1815421524
584	0.1815147907
585	0.1814549393
586	0.1813359825
587	0.1812008678
588	0.1810961461
589	0.1810461379
590	0.1809985958
591	0.1809616019
592	0.1808521
593	0.1807816333
594	0.1806981262
595	0.1806273251
596	0.1805739574
597	0.1805153931
598	0.180437881
599	0.1803694606
600	0.1803315884
601	0.1802499093
602	0.1801786964
603	0.1801029945
604	0.1800371931
605	0.1799998648
606	0.1799138564
607	0.1798535842
608	0.1797971915
609	0.1797727484
610	0.1797643557
611	0.1797260724
612	0.1796600375
613	0.1796094522
614	0.1795558999
615	0.1795025498
616	0.1794609654
617	0.1794287963
618	0.1793631318
619	0.1793224917
620	0.1792862948
621	0.1791893396
622	0.1791196888
623	0.179079549
624	0.1789590664
625	0.1789234404
626	0.1788745458
627	0.1788082495
628	0.1787662868
629	0.1787201674
630	0.1786897516
631	0.17865263
632	0.1786222754
633	0.1785214561
634	0.1784561483
635	0.1784480301
636	0.1784128335
637	0.1783620901
638	0.1782992464
639	0.1782193119
640	0.1781364434
